AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"2,889,670",0.0,1000.000,1.00,,,34.57,"71,900",0.6,13.99,17.80,24.60,39.49,63.57,"29,110","37,030","51,170","82,140","132,230",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"216,850",1.1,75.042,1.05,,,71.58,"148,880",0.8,29.52,42.03,62.77,85.86,121.57,"61,410","87,420","130,550","178,580","252,870",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"2,350",7.4,0.814,0.62,,,157.04,"326,650",5.2,46.68,72.11,132.61,200.98,279.81,"97,090","149,990","275,820","418,050","581,990",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"69,320",2.0,23.990,1.06,,,68.06,"141,560",1.5,24.72,37.01,53.56,82.64,129.18,"51,410","76,980","111,410","171,900","268,690",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,370,17.1,0.127,0.92,,,74.39,"154,720",5.1,34.59,46.06,70.46,91.86,113.34,"71,940","95,810","146,560","191,070","235,740",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"6,700",3.5,2.319,0.91,,,82.44,"171,480",1.8,45.77,60.72,78.60,99.60,134.39,"95,210","126,300","163,500","207,160","279,520",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"12,080",3.0,4.179,1.02,,,86.06,"179,010",1.9,41.60,57.87,80.25,103.32,145.42,"86,540","120,370","166,920","214,910","302,460",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"1,220",3.6,0.424,0.88,,,74.16,"154,260",1.5,44.49,51.94,65.62,84.62,109.36,"92,530","108,030","136,490","176,020","227,470",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,510,6.7,0.177,0.71,,,65.15,"135,510",2.3,37.24,48.05,61.24,77.48,89.19,"77,460","99,950","127,370","161,160","185,520",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,"9,000",4.4,3.115,1.84,,,63.67,"132,440",6.0,31.40,38.78,54.44,80.83,103.58,"65,320","80,660","113,230","168,120","215,450",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,"1,530",7.5,0.528,0.53,,,63.56,"132,210",2.2,36.11,46.09,57.89,76.37,102.09,"75,120","95,880","120,410","158,850","212,340",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,"14,430",2.3,4.992,1.16,,,92.91,"193,240",0.6,61.08,73.98,85.56,105.42,138.34,"127,040","153,870","177,970","219,270","287,740",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,"15,660",3.2,5.418,1.00,,,92.16,"191,690",1.4,48.43,63.81,82.33,105.87,156.03,"100,740","132,730","171,240","220,220","324,540",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,"2,630",3.7,0.910,0.57,,,65.46,"136,160",1.6,36.86,48.65,61.38,78.58,96.74,"76,660","101,200","127,660","163,450","201,220",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,"2,590",4.8,0.896,1.65,,,82.71,"172,030",0.9,46.67,61.94,79.77,101.60,140.62,"97,060","128,840","165,910","211,340","292,480",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"4,460",3.0,1.543,1.08,,,67.94,"141,320",1.5,38.68,47.51,61.31,81.01,103.24,"80,460","98,810","127,520","168,500","214,750",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,760,6.8,0.264,1.79,,,86.32,"179,540",4.6,47.08,61.68,79.86,103.69,141.79,"97,930","128,290","166,100","215,680","294,920",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,"5,300",3.4,1.834,1.29,,,83.38,"173,420",3.1,45.71,59.34,77.52,100.65,137.88,"95,080","123,420","161,250","209,360","286,790",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,"1,010",6.4,0.348,1.13,,,71.92,"149,590",2.8,40.48,52.23,64.78,86.09,109.55,"84,190","108,640","134,750","179,070","227,870",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,"7,470",7.0,2.585,1.06,,,61.23,"127,350",3.6,36.81,44.70,57.50,72.34,89.31,"76,570","92,970","119,590","150,460","185,760",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"1,120",19.6,0.389,0.82,,,28.58,"59,450",8.6,18.55,18.65,28.99,33.40,36.94,"38,590","38,780","60,290","69,470","76,830",,
12060,"Atlanta, GA",4,GA,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"4,160",3.7,1.438,0.68,,,*,"112,550",1.3,*,*,*,*,*,"83,320","96,950","105,270","130,240","140,290",True,
